"prodcodeid"	"dmdid"	"termfromemis"	"productname"	"formulation"	"routeofadministration"	"drugsubstancename"	"substancestrength"	"equivalent prednisolone dose"
"5900641000033111"	"8452411000001101"	"dexamethasone 5mg/5ml oral solution"	"dexamethasone 5mg/5ml oral solution"	"Oral solution"	"Oral"	"dexamethasone"	"1.000mg/1.000ml"	"0.15"
"5900741000033119"	"8452511000001102"	"dexamethasone 5mg/5ml oral suspension"	"dexamethasone 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"dexamethasone"	"1.000mg/1.000ml"	"0.15"
"11072341000033117"	"32072011000001106"	"dexamethasone 8mg soluble tablets sugar free"	"dexamethasone 8mg soluble tablets sugar free"	"Soluble tablet/"	"Oral"	"dexamethasone sodium phosphate"	"8.000mg"	"0.15"
"12575941000033114"	"35574111000001104"	"dexamethasone 8mg tablets"	"dexamethasone 8mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"dexamethasone"	"8.000mg"	"0.15"
"3345441000033112"	"4052811000001109"	"dexamethasone 8mg/2ml solution for injection vials"	"dexamethasone 8mg/2ml solution for injection vials"	"Solution for injection"	"Intraarticular/ Subcutaneous/ Rectal/ Intravenous/ Intramuscular/ Intrabursal"	"dexamethasone sodium phosphate"	"4.000mg/1.000ml"	"0.15"
"2958641000033119"	NA	"dexamethasone phosphate  injection  24 mg/ml, 5 ml vial"	NA	NA	NA	NA	NA	"0.15"
"423541000033113"	NA	"dexamethasone phosphate  injection  4 mg/ml"	NA	NA	NA	NA	NA	"0.15"
"2146441000033119"	"3851611000001100"	"dexsol 2mg/5ml oral solution (rosemont pharmaceuticals ltd)"	"dexsol 2mg/5ml oral solution"	"Oral solution"	"Oral"	"dexamethasone sodium phosphate"	"400.000microgram/1.000ml"	"0.15"
"8494441000033110"	"32652311000001103"	"dilacort 2.5mg gastro-resistant tablets (crescent pharma ltd)"	"dilacort 2.5mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"prednisolone"	"2.500mg"	"1"
"8494541000033111"	"32652511000001109"	"dilacort 5mg gastro-resistant tablets (crescent pharma ltd)"	"dilacort 5mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"prednisolone"	"5.000mg"	"1"
"3978541000033114"	"3852011000001104"	"efcortesol 100mg/1ml solution for injection ampoules (advanz pharma)"	"efcortesol 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Intramuscular/ Intralesional"	"hydrocortisone sodium phosphate"	"100.000mg/1.000ml"	"4"
"3978641000033110"	"4888811000001103"	"efcortesol 500mg/5ml solution for injection ampoules (advanz pharma)"	"efcortesol 500mg/5ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Intramuscular/ Intralesional"	"hydrocortisone sodium phosphate"	"100.000mg/1.000ml"	"4"
"13915841000033114"	"40000311000001109"	"efmody 10mg modified-release capsules (diurnal ltd)"	"efmody 10mg modified-release capsules"	"Modified-release capsule"	"Oral"	"hydrocortisone"	"10.000mg"	"4"
"13915741000033116"	"39998611000001107"	"efmody 5mg modified-release capsules (diurnal ltd)"	"efmody 5mg modified-release capsules"	"Modified-release capsule"	"Oral"	"hydrocortisone"	"5.000mg"	"4"
"521541000033116"	"3765811000001105"	"entocort cr 3mg capsules (tillotts pharma uk ltd)"	"entocort cr 3mg capsules"	"Modified-release capsule"	"Oral"	"budesonide"	"3.000mg"	"0.075"
"593341000033117"	"838111000001105"	"florinef 100microgram tablets (aspen pharma trading ltd)"	"florinef 100microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"fludrocortisone acetate"	"100.000microgram"	"?"
"595841000033110"	"42082611000001106"	"fludrocortisone 100microgram tablets"	"fludrocortisone 100microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"fludrocortisone acetate"	"100.000microgram"	"?"
"4044641000033112"	"8515311000001100"	"fludrocortisone 100micrograms/5ml oral suspension"	"fludrocortisone 100micrograms/5ml oral suspension"	"Oral suspension"	"Oral"	"fludrocortisone acetate"	"20.000microgram/1.000ml"	"?"
"14207941000033111"	"41780411000001109"	"fludrocortisone 100micrograms/ml oral solution sugar free"	"fludrocortisone 100micrograms/ml oral solution sugar free"	"Oral solution"	"Oral/ Gastroenteral"	"fludrocortisone acetate"	"100.000microgram/1.000ml"	"?"
"6453841000033113"	"8515411000001107"	"fludrocortisone 125micrograms/5ml oral suspension"	"fludrocortisone 125micrograms/5ml oral suspension"	"Oral suspension"	"Oral"	"fludrocortisone acetate"	"25.000microgram/1.000ml"	"?"
