"term"	"medcodeid"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"	"emiscodecategoryid"
"other senile/presenile dement."	"882181000006117"	"E00-98"	"E00..98"	"268612007"	"882181000006117"	"32"
"senile and presenile dementias"	"882191000006119"	"E00-99"	"E00..99"	"268612007"	"882191000006119"	"32"
"uncomplicated senile dementia"	"294635013"	"E000"	"E000.00"	"191449005"	"294635013"	"32"
"senile dementia - simple type"	"882201000006116"	"E000-99"	"E000.99"	"191449005"	"882201000006116"	"32"
"presenile dementia"	"21256010"	"E001"	"E001.00"	"12348006"	"21256010"	"32"
"uncomplicated presenile dementia"	"294637017"	"E0010"	"E001000"	"191451009"	"294637017"	"32"
"presenile dementia with delirium"	"294638010"	"E0011"	"E001100"	"191452002"	"294638010"	"32"
"presenile dementia with paranoia"	"294641018"	"E0012"	"E001200"	"191454001"	"294641018"	"32"
"presenile dementia with depression"	"294642013"	"E0013"	"E001300"	"191455000"	"294642013"	"32"
"presenile dementia nos"	"294643015"	"E001z"	"E001z00"	"12348006"	"21256010"	"32"
"senile dementia with depressive or paranoid features"	"294644014"	"E002"	"E002.00"	"191457008"	"294644014"	"32"
"senile dementia with paranoia"	"294645010"	"E0020"	"E002000"	"191458003"	"294645010"	"32"
"senile dementia with depression"	"294646011"	"E0021"	"E002100"	"191459006"	"294646011"	"32"
"senile dementia with depressive or paranoid features nos"	"294647019"	"E002z"	"E002z00"	"191457008"	"294644014"	"32"
"senile dementia with delirium"	"294648012"	"E003"	"E003.00"	"191461002"	"294648012"	"32"
"senile dementia-acute confused"	"882211000006118"	"E003-99"	"E003.99"	"191461002"	"882211000006118"	"32"
"arteriosclerotic dementia"	"497559016"	"E004"	"E004.00"	"56267009"	"497559016"	"32"
"multi-infarct dementia"	"696161000006115"	"E004-1"	"E004.11"	"56267009"	"93568017"	"32"
"uncomplicated arteriosclerotic dementia"	"294652012"	"E0040"	"E004000"	"191463004"	"294652012"	"32"
"arteriosclerotic dementia with delirium"	"294653019"	"E0041"	"E004100"	"191464005"	"294653019"	"32"
"arteriosclerotic dementia with paranoia"	"294654013"	"E0042"	"E004200"	"191465006"	"294654013"	"32"
"arteriosclerotic dementia with depression"	"294655014"	"E0043"	"E004300"	"191466007"	"294655014"	"32"
"arteriosclerotic dementia nos"	"294656010"	"E004z"	"E004z00"	"56267009"	"497559016"	"32"
"other senile and presenile organic psychoses"	"401759010"	"E00y"	"E00y.00"	"268612007"	"401757012"	"32"
"presbyophrenic psychosis"	"346897015"	"E00y-1"	"E00y.11"	"231438001"	"346897015"	"32"
"senile or presenile psychoses nos"	"294660013"	"E00z"	"E00z.00"	"268612007"	"401757012"	"32"
"other alcoholic dementia"	"401760017"	"E012"	"E012.00"	"281004"	"1225776018"	"32"
"alcoholic dementia"	"346929012"	"E012-1"	"E012.11"	"281004"	"1225776018"	"32"
"chronic alcoholic brain syndrome"	"294668018"	"E0120"	"E012000"	"191475009"	"294668018"	"32"
"drug-induced dementia"	"294688019"	"E02y1"	"E02y100"	"191493005"	"294688019"	"32"
"dementia in conditions ec"	"294718018"	"E041"	"E041.00"	"191519005"	"294718018"	"32"
"dementia in alzheimer's disease with early onset, without additional symptoms"	"1971401000006111"	"EMISICD10|F0000"	NA	"1971401000006107"	"1971401000006111"	"32"
"dementia in alzheimer's disease with early onset, other symptoms, predominantly delusional"	"1971541000006114"	"EMISICD10|F0001"	NA	"1971541000006105"	"1971541000006114"	"32"
"dementia in alzheimer's disease with early onset, other symptoms, predominantly hallucinatory"	"1971771000006112"	"EMISICD10|F0002"	NA	"1971771000006108"	"1971771000006112"	"32"
"dementia in alzheimer's disease with early onset, other symptoms, predominantly depressive"	"1972131000006115"	"EMISICD10|F0003"	NA	"1972131000006104"	"1972131000006115"	"32"
"dementia in alzheimer's disease with early onset, other mixed symptoms"	"1972141000006113"	"EMISICD10|F0004"	NA	"1972141000006109"	"1972141000006113"	"32"
"dementia in alzheimer's disease with late onset, without additional symptoms"	"1972171000006117"	"EMISICD10|F0010"	NA	"1972171000006101"	"1972171000006117"	"32"
"dementia in alzheimer's disease with late onset, other symptoms, predominantly delusional"	"1972181000006119"	"EMISICD10|F0011"	NA	"1972181000006103"	"1972181000006119"	"32"
"dementia in alzheimer's disease with late onset, other symptoms, predominantly hallucinatory"	"1972191000006116"	"EMISICD10|F0012"	NA	"1972191000006100"	"1972191000006116"	"32"
"dementia in alzheimer's disease with late onset, other symptoms, predominantly depressive"	"1972201000006118"	"EMISICD10|F0013"	NA	"1972201000006102"	"1972201000006118"	"32"
"dementia in alzheimer's disease with late onset, other mixed symptoms"	"1972211000006115"	"EMISICD10|F0014"	NA	"1972211000006104"	"1972211000006115"	"32"
