"medcodeid"	"originalreadcode"	"cleansedreadcode"	"term"	"snomedctconceptid"	"snomedctdescriptionid"
"3854401000006113"	"^ESCTBI385440"	NA	"bipolar 2 disorder"	"83225003"	"2951697012"
"3862661000006112"	"^ESCTCH386266"	NA	"chronic schizophrenia"	"83746006"	"138883015"
"3886291000006119"	"^ESCTBI388629"	NA	"bipolar disorder, in remission"	"85248005"	"2951702015"
"3946141000006118"	"^ESCTSC394614"	NA	"schizophreniform disorder"	"88975006"	"147527010"
"3956691000006118"	"^ESCTPE395669"	NA	"persecutory delusion disorder"	"89618007"	"148581010"
"3959871000006110"	"^ESCTDE395987"	NA	"delusion of parasitosis"	"89809008"	"148887017"
"4082401000006110"	"^ESCTCA408240"	NA	"catatonic reaction"	"102909009"	"166335014"
"4082931000006110"	"^ESCTSC408293"	NA	"schizophrenic reaction"	"102940002"	"166396013"
"4196201000006119"	"^ESCTMI419620"	NA	"mixed bipolar i disorder in full remission"	"111485001"	"178725011"
"4426181000006110"	"^ESCTMA442618"	NA	"manipulative procedure"	"129408000"	"1220880019"
"4539931000006112"	"^ESCTHI453993"	NA	"history of schizophrenia"	"161468000"	"2923441013"
"4763891000006112"	"^ESCTSU476389"	NA	"subchronic schizoaffective schizophrenia"	"191569002"	"294775010"
"4763911000006114"	"^ESCTAC476391"	NA	"acute exacerbation of subchronic schizoaffective schizophrenia"	"191571002"	"294777019"
"4763921000006118"	"^ESCTAC476392"	NA	"acute exacerbation of chronic schizoaffective schizophrenia"	"191572009"	"294778012"
"4764391000006115"	"^ESCTPA476439"	NA	"paranoia"	"191667009"	"3010350018"
"4766081000006111"	"^ESCTPS476608"	NA	"psychosomatic musculoskeletal symptoms"	"191948007"	"295341018"
"4767311000006117"	"^ESCTBI476731"	NA	"bipolar affective disorder, current episode mixed"	"192362008"	"1775490013"
"4941461000006118"	"^ESCTPA494146"	NA	"paranoid delusion"	"225452001"	"338798013"
"5023391000006116"	"^ESCTRE502339"	NA	"reactive psychosis"	"231437006"	"2951776016"
"5023531000006114"	"^ESCTEP502353"	NA	"epileptic psychosis"	"231449007"	"346912014"
"5023541000006116"	"^ESCTPS502354"	NA	"psychosis associated with intensive care"	"231450007"	"346913016"
"5023901000006110"	"^ESCTPO502390"	NA	"post-schizophrenic depression"	"231485007"	"346956014"
"5023961000006111"	"^ESCTMA502396"	NA	"manic"	"231494001"	"346967010"
"5024321000006116"	"^ESCTMA502432"	NA	"manipulative personality disorder"	"231525006"	"347009017"
"5106071000006112"	"^ESCTMI510607"	NA	"mild postnatal psychosis"	"237351003"	"355730010"
"5128631000006110"	"^ESCTCU512863"	NA	"cutaneous monosymptomatic delusional psychosis"	"238972008"	"358137015"
"5128641000006117"	"^ESCTDE512864"	NA	"delusions of parasitosis"	"238973003"	"358138013"
"5128651000006115"	"^ESCTDE512865"	NA	"delusions of infestation"	"238974009"	"358139017"
"5128661000006118"	"^ESCTDE512866"	NA	"delusion of foul odour"	"238975005"	"358140015"
"5128691000006114"	"^ESCTDE512869"	NA	"delusional hyperhidrosis"	"238977002"	"358143018"
"5247171000006117"	"^ESCTDE524717"	NA	"delusion of grandiose ability"	"247668007"	"369806012"
"5247181000006119"	"^ESCTDE524718"	NA	"delusion of grandiose identity"	"247669004"	"369807015"
"5247211000006115"	"^ESCTDE524721"	NA	"delusional mood"	"247672006"	"369810010"
"5247231000006114"	"^ESCTDE524723"	NA	"delusion associated with smell"	"247675008"	"369813012"
"5247281000006110"	"^ESCTNI524728"	NA	"nihilistic delusion"	"247679002"	"369818015"
"5247381000006117"	"^ESCTDE524738"	NA	"depressive delusion of catastrophe"	"247686005"	"369832018"
