"diagnosis"	"term"	"medcodeid"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"
"mixed"	"depression anxiety stress scales stress score"	"2549296017"	"388a"	"388a.00"	"416767005"	"2549296017"
"mixed"	"depression anxiety stress scales stress score"	"982251000006112"	"EMISNQDE4"	NA	"982251000006108"	"982251000006112"
"mixed"	"depression anxiety stress scales depression score"	"2549495015"	"388Z"	"388Z.00"	"416954004"	"2549495015"
"depression"	"sad mood"	"983861000006115"	"1BT-2"	"1BT..12"	"366979004"	"490537016"
"depression"	"excepted from depression quality indicators - patient unsuitable"	"999901000006113"	"9hC0"	"9hC0.00"	"716831000000103"	"1569381000000116"
"depression"	"excepted from depression quality indicators - informed dissent"	"999911000006111"	"9hC1"	"9hC1.00"	"715831000000109"	"1568391000000112"
"anxiety"	"had scale - frightened and impending doom"	"1008631000006111"	"EMISNQHA8"	NA	"1008631000006107"	"1008631000006111"
"anxiety"	"had scale - worrying thoughts"	"1008651000006116"	"EMISNQHA10"	NA	"1008651000006100"	"1008651000006116"
"anxiety"	"had scale - frightened with butterflies"	"1008691000006110"	"EMISNQHA14"	NA	"1008691000006106"	"1008691000006110"
"anxiety"	"had scale - sudden panic"	"1008731000006119"	"EMISNQHA18"	NA	"1008731000006103"	"1008731000006119"
"depression"	"phq9 score - feeling down or depressed or hopeless"	"1008821000006112"	"EMISNQPH8"	NA	"1008821000006108"	"1008821000006112"
"anxiety"	"generalised anxiety disorder (gad-7) score"	"1626511000006116"	"EMISNQGE26"	NA	"1626511000006100"	"1626511000006116"
"depression"	"suspected depression"	"1650771000000113"	"1JJ"	"1JJ..00"	"473126001"	"2956111010"
"depression"	"on full dose long term treatment depression - enh serv admin"	"1680571000006118"	"9kQ"	"9kQ..00"	"361761000000106"	"681801000000113"
"depression"	"moderate major depression"	"1715181000006114"	"Eu326"	"Eu32600"	"832007"	"2451016"
"depression"	"severe major depression with psychotic features"	"1715191000006112"	"Eu328"	"Eu32800"	"73867007"	"122670017"
"depression"	"mild major depression"	"1715771000006112"	"Eu325"	"Eu32500"	"87512008"	"145089017"
"depression"	"severe major depression without psychotic features"	"1715781000006110"	"Eu327"	"Eu32700"	"75084000"	"124707013"
"anxiety"	"iapt (improving access to psych therapies) prgrmme phobia scale"	"1721191000006118"	"EMISNQIA1"	NA	"1721191000006102"	"1721191000006118"
"anxiety"	"iapt programme phobia scale q1 (social phobia) score"	"1721201000006115"	"EMISNQIA2"	NA	"1721201000006104"	"1721201000006115"
"anxiety"	"iapt programme phobia scale q2 (panic/agoraphobia) score"	"1721211000006117"	"EMISNQIA3"	NA	"1721211000006101"	"1721211000006117"
"anxiety"	"iapt programme phobia scale q3 (specific phobia) score"	"1721221000006113"	"EMISNQIA4"	NA	"1721221000006109"	"1721221000006113"
"anxiety"	"iapt (improving access to psychological therapies programme) phobia scale - social situations due to a fear of being embarrassed or making a fool of myself score"	"1752441000006114"	"38Du0"	"38Du000"	"1091691000000105"	"2734401000000110"
"anxiety"	"iapt (improving access to psychological therapies programme) phobia scale - certain situations because of a fear of having a panic attack or other distressing symptoms score"	"1752451000006111"	"38Du1"	"38Du100"	"1091671000000106"	"2734361000000118"
"anxiety"	"iapt (improving access to psychological therapies programme) phobia scale - certain situations because of a fear of particular objects or activities score"	"1752461000006113"	"38Du2"	"38Du200"	"1091681000000108"	"2734381000000110"
"depression"	"single major depressive episode, severe, with psychosis, psychosis in remission"	"8232571000006118"	"^ESCTSI823257"	NA	"755321000000106"	"1662041000000111"
"depression"	"[x]recurrent major depressive episodes, severe, with psychosis, psychosis in remission"	"1755911000006110"	"Eu32A"	"Eu32A00"	"755331000000108"	"1667611000000115"
"depression"	"antenatal depression"	"1785881000006119"	"Eu32B"	"Eu32B00"	"790961000000101"	"1768521000000118"
"depression"	"antenatal depression"	"13902421000006110"	"^ESCT1390242"	NA	"788120007"	"3779077018"
"anxiety"	"fearful attachment"	"1773361000006112"	"EMISNQFE10"	NA	"1773361000006108"	"1773361000006112"
"anxiety"	"post trial - anxiety screen question 1"	"1803241000006112"	"EMISNQPO43"	NA	"1803241000006108"	"1803241000006112"
"anxiety"	"post trial - anxiety screen question 2"	"1803271000006116"	"EMISNQPO46"	NA	"1803271000006100"	"1803271000006116"
"anxiety"	"psycho-education - anxiety"	"1806261000006117"	"JHCPS5"	NA	"1806261000006101"	"1806261000006117"
"depression"	"adjustment disorder with depressed mood"	"1806431000006113"	"EMISNQAD51"	NA	"57194009"	"95129017"
"anxiety"	"recurrent panic attacks"	"1808511000006119"	"JHCRE17"	NA	"1808511000006103"	"1808511000006119"
"anxiety"	"panic disorder without agoraphobia"	"1808521000006110"	"EMISNQPA155"	NA	"56576003"	"94086016"
"anxiety"	"symptoms of agoraphobia"	"1809331000006113"	"EMISNQSY10"	NA	"1809331000006109"	"1809331000006113"
"anxiety"	"fear of disease"	"1809341000006115"	"JHCFE5"	NA	"1809341000006104"	"1809341000006115"
