"medcodeid"	"term"	"smokstatus"	"status"
"904111000006113"	"carbon monoxide validation confirms non-smoker"	0	"non-smoker"
"904121000006117"	"carbon monoxide validation confirms smoker"	1	"smoker or ex-smoker"
"904141000006112"	"smoking cessation 4 week f/u not completed"	12	"smoker or ex-smoker"
"904151000006114"	"smoking cessation 4 week f/u completed"	12	"smoker or ex-smoker"
"904161000006111"	"smoking cessation 52 week f/u completed"	12	"smoker or ex-smoker"
"904171000006116"	"smoking cessation 52 week f/u not completed"	12	"smoker or ex-smoker"
"904181000006118"	"smoking cessation counselling"	12	"smoker or ex-smoker"
"904191000006115"	"smoking cessation motivation score"	12	"smoker or ex-smoker"
"904201000006117"	"smoking cessation confidence score"	12	"smoker or ex-smoker"
"904211000006119"	"smoking cessation service patient satisfaction score"	12	"smoker or ex-smoker"
"904221000006110"	"smoking cessation bupropion therapy"	12	"smoker or ex-smoker"
"904231000006113"	"smoking cessation counselling by telephone"	12	"smoker or ex-smoker"
"904241000006115"	"smoking cessation counselling in person"	12	"smoker or ex-smoker"
"909391000006117"	"[rfc] smoking cessation"	12	"smoker or ex-smoker"
"923201000006112"	"pregnancy smoking advice"	1	"smoker or ex-smoker"
"923611000006113"	"health ed. - smoking"	1	"smoker or ex-smoker"
"936011000006114"	"advice on effects of smoking on health"	1	"smoker or ex-smoker"
"961581000006114"	"smokes/uses tobacco products"	1	"smoker or ex-smoker"
"983101000006113"	"misuse of nicotine"	1	"smoker or ex-smoker"
"99639019"	"cigar smoker"	1	"smoker or ex-smoker"
"998861000006112"	"nicotine replacement therapy provided by community pharmacist"	12	"smoker or ex-smoker"
